Error_Tag,Count
"constr,tense",4
"asp,refl",4
"wo,neg",4
"lex,subst,par",4
"disc,constr,transfer",4
"constr,gov,lex",4
"agrnum,ortho,subst",4
"punct,lex,extra",4
"agrstr,extra,prep",4
"wo,gov",4
"miss,agrcase",4
"space,hyphen",4
"space,conj",4
"disc,miss",4
"lex,refl,miss",4
"num,infl",4
"syntax,gov,genneg",4
"ortho,impers",3
"ortho,conj",3
"prep,gov,lex",3
"mode,extra",3
"gender,infl,subst",3
"syntax,constr,lex,subst",3
"agrnum,agrgender,agrpers",3
"wo,constr,lex",3
"miss,constr,disc",3
"ortho,gov,infl",3
"lex,extra,not-clear",3
"ref,syntax",3
"disc,lex,transfer",3
"num,ortho,subst",3
"ref,agrcase",3
"translit,transfer",3
"ortho,neg",3
"gender,ref",3
"agrcase,subst",3
"subst,ref",3
"disc,not-clear",3
"num,ref",3
"miss,not-clear",3
"ortho,miss,misspell,subst",3
"not-clear,transfer",3
"ortho,asp",3
"lex,par,asp",3
"lex,agrnum",3
"brev,constr",3
"transfer,idiom",3
"gender,num",3
"gov,ortho,infl",3
"ortho,wo",3
"syntax,conj",3
"gov,extra,prep",3
"ortho,brev",3
"constr,transfer,lex",3
"gender,lex",3
"agrstr,constr,transfer",3
"transfer,gov",3
"ortho,miss,transfer",3
"space,ortho,miss",3
"passive,refl",3
"gov,ortho,subst",3
"subst,miss",3
"agrpers,agrgender",3
"refl,asp",3
"ortho,miss,misspell",3
"gov,idiom",3
"wo,miss",3
"mode,tense",3
"gov,prep,extra",3
"punct,ortho",3
"aux,asp",3
"space,punct",3
"ortho,ref,gov",3
"lex,infl",3
"agrgender,num",3
"agrstr,miss",3
"agrnum,infl",3
"agrcase,punct",3
"gov,wo",3
"agrnum,brev",3
"ortho,subst,gov",3
"hyphen,miss,ortho",3
"conj,miss,constr",3
"ortho,subst,punct",3
"gov,lex,num",3
"agrstr,miss,prep",3
"ortho,ortho",3
"prep,miss,lex,constr",3
"ortho,tense",3
"infl,gender",3
